FilenameAndPath;FileSize;FileSha512Hash;Category;Source;GroupId
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\Check\CheckDetail\IService.cs";537;02F16DC42D5588B3D8BF25D9F1BB56EFF264391282940F6D81D08D943472E068627C9BE695E02DB8C6F027D5C8F24127F7F8ECF22AC4886F8854D04A9F5D363C;Duplicate;Base;1
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\Check\CheckDetail\IService.cs";537;02F16DC42D5588B3D8BF25D9F1BB56EFF264391282940F6D81D08D943472E068627C9BE695E02DB8C6F027D5C8F24127F7F8ECF22AC4886F8854D04A9F5D363C;Duplicate;Second;1
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\FindDups\Refresh\IRefreshService.cs";167;0A3EE4F7C805FE118DE84F64398B94F19CFB18B3FBEFE6C58DD7CB152A99CB7AA6F24288EB1E5911B1D061F458147FBC28717152F130081990E56EB08DED7E4E;Duplicate;Base;2
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\FindDups\Refresh\IRefreshService.cs";167;0A3EE4F7C805FE118DE84F64398B94F19CFB18B3FBEFE6C58DD7CB152A99CB7AA6F24288EB1E5911B1D061F458147FBC28717152F130081990E56EB08DED7E4E;Duplicate;Second;2
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\FindDups\IFindDupsRunner.cs";171;0B703DAE4B72ACB95286826976A2149DF7C08F9BBC6168329EE3B11DF21F748AC34C97A7517FD561A63D04A2EB7B2028A9F25EEF6B7FC7F082D197420865A882;Duplicate;Base;3
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\FindDups\IFindDupsRunner.cs";171;0B703DAE4B72ACB95286826976A2149DF7C08F9BBC6168329EE3B11DF21F748AC34C97A7517FD561A63D04A2EB7B2028A9F25EEF6B7FC7F082D197420865A882;Duplicate;Second;3
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\FindDups\Helper\EnumerateFilesFromDiscToIndex.cs";3206;3130617A8D3B401602407940C3365B9B35D45588EE74D0E7B3F1415689798F4A077F47DA6548545311D84B3CD698E0C4E432746ED14D111C161E437BDA844C15;Duplicate;Base;4
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\FindDups\Helper\EnumerateFilesFromDiscToIndex.cs";3206;3130617A8D3B401602407940C3365B9B35D45588EE74D0E7B3F1415689798F4A077F47DA6548545311D84B3CD698E0C4E432746ED14D111C161E437BDA844C15;Duplicate;Second;4
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\Check\ICheckService.cs";156;3A3FEA15771E526F5B093112190B52B34427707DFD54BCE0BC3AFD5C07245DAEBE7C65468F85DD08C762B88D956413499728E0D43E06E412888F82BA4C0D5585;Duplicate;Base;6
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\Check\ICheckService.cs";156;3A3FEA15771E526F5B093112190B52B34427707DFD54BCE0BC3AFD5C07245DAEBE7C65468F85DD08C762B88D956413499728E0D43E06E412888F82BA4C0D5585;Duplicate;Second;6
